Model,Brand,Price,Max power,Max torque,Cooling System,Transmission,Transmission type,displacement,cylinders,Fuel Tank Capacity,Mileage,Top speed,Kerb weight,Location,Kilometer Driven,Seller Type,ground clearance,seat height
Yamaha Aerox 155,Yamaha,141554,14.79,13.9,liquid cooled,automatic,cvt,155,1,5.5,44.5,115,126,Krishnagiri,70000,Dealer,145,790
Suzuki Access 125,Suzuki,77378,8.6,10,air cooled,automatic,cvt,124,1,5,48,90,104,Coimbatore,43000,Dealer,160,773
Suzuki Gixxer SF,Suzuki,135702,13.4,13.8,air cooled,5 speed manual,chain drive,155,1,12,45,125,148,Chennai,500000,Dealer,165,795
Suzuki Burgman Street 125,Suzuki,89436,8.58,10,air cooled,automatic,cvt,124,1,5.5,49,95,110,Madurai,30514,Dealer,160,780
Suzuki Gixxer,Suzuki,130718,13.41,13.8,air cooled,5 speed manual,chain drive,155,1,12,45,115,141,Trichy,130000,Dealer,160,795
Suzuki Gixxer SF 250,Suzuki,188738,26.13,22.2,oil cooled,6 speed manual,chain drive,249,1,12,35.5,150,161,Kanyakumari,45000,Dealer,165,800
Suzuki Gixxer 250,Suzuki,177973,26.13,22.2,oil cooled,6 speed manual,chain drive,249,1,12,35,130,156,Salem,25000,Dealer,165,800
Suzuki Katana,Suzuki,1366892,150.19,106,liquid cooled,6 speed manual,chain drive,999,4,12,nan,240,217,Tirupur,2500,Dealer,140,825
Suzuki V-Strom 650 XT,Suzuki,892801,69.7,62,liquid cooled,6 speed manual,chain drive,645,2,20,nan,190,216,Erode,22770,Dealer,170,835
Duke,KTM,190851,24.67,19.3,liquid cooled,6 speed manual,chain drive,199.5,1,13.4,33.5,142,159,Krishnagiri,30000,Dealer,155,822
Duke,KTM,236090,29.6,24,liquid cooled,6 speed manual,chain drive,248.76,1,13.4,32,148,170,Coimbatore,35000,Dealer,151,822
Duke,KTM,295182,42.9,37,liquid cooled,6 speed manual,chain drive,373.27,1,13.4,26,167,171,Chennai,6330,Dealer,151,822
Duke,KTM,176937,14.3,12,liquid cooled,6 speed manual,chain drive,124.7,1,13.4,40,112,159,Madurai,500,Dealer,155,822
KTM 390 Adventure,KTM,337292,42.3,37,liquid cooled,6 speed manual,chain drive,373,1,14.5,28,180,177,Trichy,43400,Dealer,200,855
KTM 250 Adventure,KTM,242595,29.5,24,liquid cooled,6 speed manual,chain drive,248,1,14.5,nan,140,177,Kanyakumari,7004,Dealer,200,855
Jawa 42,Jawa,174573,26.95,26.84,liquid cooled,6 speed manual,chain drive,294.72,1,13.2,33,130,182,Salem,16500,Dealer,165,765
Jawa Standard,Jawa,183648,27,27.05,liquid cooled,6 speed manual,chain drive,293,1,14,30,122,172,Tirupur,12500,Dealer,165,765
Ninja,Kawasaki,7990000,305.75,165,liquid cooled,6 speed manual,chain drive,998,4,17,15,400,216,Erode,9600,Dealer,130,830
Ninja,Kawasaki,340000,38.88,26.1,liquid cooled,6 speed manual,chain drive,296,2,17,nan,160,179,Krishnagiri,35000,Dealer,140,780
Ninja,Kawasaki,1614985,200.21,114.9,liquid cooled,6 speed manual,chain drive,998,4,17,nan,299,207,Coimbatore,11000,Dealer,135,835
Kawasaki Z900,Kawasaki,902000,123.64,98.6,liquid cooled,6 speed manual,chain drive,948,4,17,nan,195,212,Chennai,20000,Dealer,145,820
Ninja,Kawasaki,513959,44.7,37,liquid cooled,6 speed manual,chain drive,399,2,14,nan,169,168,Madurai,13000,Dealer,140,785
Kawasaki Ninja 650,Kawasaki,712000,67.3,64,liquid cooled,6 speed manual,chain drive,649,2,15,30,210,196,Trichy,3500,Dealer,130,790
Kawasaki Z650,Kawasaki,643034,67.31,64,liquid cooled,6 speed manual,chain drive,649,2,15,nan,201,191,Kanyakumari,9000,Dealer,130,790
Ninja,Kawasaki,1209967,140.13,111,liquid cooled,6 speed manual,chain drive,1043,4,19,nan,244,238,Salem,7500,Commercial Registration,135,835
Kawasaki Vulcan S,Kawasaki,640000,59.94,62.4,liquid cooled,6 speed manual,chain drive,649,2,14,nan,186,235,Tirupur,38000,Dealer,130,705
Kawasaki Z H2,Kawasaki,2301733,197.26,137,liquid cooled,6 speed manual,chain drive,998,4,19,nan,280,239,Erode,120000,Dealer,140,830
Kawasaki Z650RS,Kawasaki,692036,67.31,64,liquid cooled,6 speed manual,chain drive,649,2,12,nan,201,192,Krishnagiri,6465,Dealer,125,800
Kawasaki Versys 650,Kawasaki,753951,65.7,61,liquid cooled,6 speed manual,chain drive,649,2,21,nan,199,219,Coimbatore,18803,Dealer,170,845
Kawasaki W800,Kawasaki,732773,50.95,62.9,air cooled,5 speed manual,chain drive,773,2,15,nan,177,224,Chennai,20000,Dealer,130,770
Kawasaki Versys 1000,Kawasaki,1219000,118.27,102,liquid cooled,6 speed manual,chain drive,1043,4,21,nan,240,255,Madurai,24000,Dealer,150,840
SR,Aprilia,131349,10.84,11.6,air cooled,automatic,cvt,160.03,1,6,35,90,122,Trichy,22000,Dealer,169,780
SR,Aprilia,122451,9.78,9.7,air cooled,automatic,cvt,124.45,1,6,40,90,115,Kanyakumari,7000,Dealer,155,780
Aprilia Storm 125,Aprilia,102253,9.78,9.6,air cooled,automatic,cvt,124.45,1,6,40,90,118,Salem,6100,Dealer,130,755
Aprilia SXR 160,Aprilia,143872,10.84,11.6,air cooled,automatic,cvt,160.03,1,7,35,100,129,Tirupur,14000,Dealer,160,775
Aprilia SXR 125,Aprilia,132615,9.38,9.2,air cooled,automatic,cvt,124.45,1,7,nan,90,128,Erode,23000,Dealer,161,775
Aprilia RSV4 1100 Factory,Aprilia,2369000,213.89,125,liquid cooled,6 speed manual,chain drive,1099,4,17.9,nan,305,202,Krishnagiri,85000,Dealer,130,845
Aprilia Tuono Factory,Aprilia,2066000,172.58,122,liquid cooled,6 speed manual,chain drive,1077,4,18.5,nan,265,209,Coimbatore,40000,Dealer,125,837
Benelli Imperiale 400,Benelli,234886,20.7,29,air cooled,5 speed manual,chain drive,374,1,12,30,115,205,Chennai,18000,Dealer,165,780
Benelli TRK 251,Benelli,298977,25.47,21.2,liquid cooled,6 speed manual,chain drive,249,1,18,nan,148,164,Madurai,10000,Dealer,170,800
Benelli 502C,Benelli,579955,46.8,46,liquid cooled,6 speed manual,chain drive,500,2,21,nan,175,220,Trichy,40000,Dealer,170,750
Benelli TRK 502X,Benelli,629954,46.85,46,liquid cooled,6 speed manual,chain drive,500,2,20,nan,160,235,Kanyakumari,1500,Dealer,220,840
Benelli TRK 502,Benelli,569881,46.8,46,liquid cooled,6 speed manual,chain drive,500,2,20,nan,150,235,Salem,30000,Dealer,190,800
Benelli Leoncino 500,Benelli,554876,46.8,46,liquid cooled,6 speed manual,chain drive,500,2,12.7,nan,170,207,Tirupur,3000,Dealer,160,790
CFMoto 300NK,CFMoto,229000,27.49,25,liquid cooled,6 speed manual,chain drive,292.4,1,12.5,nan,127,151,Erode,55000,Dealer,150,795
CFMoto 650NK,CFMoto,429000,55.65,54.4,liquid cooled,6 speed manual,chain drive,649.3,2,17,nan,180,206,Krishnagiri,12000,Dealer,150,815
CFMoto 650GT,CFMoto,559000,55.65,54.4,liquid cooled,6 speed manual,chain drive,649.3,2,19,nan,195,226,Coimbatore,90000,Dealer,150,795
CFMoto 650MT,CFMoto,529000,55.65,54.4,liquid cooled,6 speed manual,chain drive,649,2,18,nan,170,218,Chennai,500,Dealer,128,840
Ducati Panigale V4,Ducati,2741000,212.5,123.6,liquid cooled,6 speed manual,chain drive,1103,4,17,nan,299,198.5,Madurai,50000,Dealer,122,850
Ducati SuperSport,Ducati,1575000,108.62,93,liquid cooled,6 speed manual,chain drive,937,2,16,nan,299,210,Trichy,25000,Dealer,132,810
Ducati Monster BS6,Ducati,1249000,109.96,93,liquid cooled,6 speed manual,chain drive,937,2,14,nan,200,188,Kanyakumari,36500,Dealer,202,820
Scrambler,Ducati,939000,71.87,66.2,air cooled,6 speed manual,chain drive,803,2,13.5,nan,299,189,Salem,26000,Dealer,176,798
Ducati Streetfighter V4,Ducati,2215000,205.17,123,liquid cooled,6 speed manual,chain drive,1103,4,16,nan,299,201,Tirupur,18000,Dealer,121,845
Ducati Panigale V2,Ducati,2026450,152.8,104,liquid cooled,6 speed manual,chain drive,955,2,17,nan,299,200,Erode,49000,Dealer,128,840
Ducati XDiavel,Ducati,2120000,160,127.4,liquid cooled,6 speed manual,chain drive,1262,2,18,nan,299,247,Krishnagiri,18000,Dealer,140,755
Ducati Streetfighter V2,Ducati,1810000,150.59,101.4,liquid cooled,6 speed manual,chain drive,955,2,17,nan,270,200,Coimbatore,15000,Dealer,131,845
Ducati Diavel 1260,Ducati,2149000,159.58,129,liquid cooled,6 speed manual,chain drive,1262,2,17,nan,299,249,Chennai,8500,Dealer,121,780
Scrambler,Ducati,1169000,71.87,66.2,air cooled,6 speed manual,chain drive,803,2,13.5,nan,299,192,Madurai,3775,Dealer,176,798
Ducati Hypermotard 950,Ducati,1560000,112.4,96,liquid cooled,6 speed manual,chain drive,937,2,14.5,nan,316,200,Trichy,14500,Dealer,215,870
Ducati Multistrada V4,Ducati,2148000,167.62,125,liquid cooled,6 speed manual,chain drive,1158,4,22,nan,180,240,Kanyakumari,35000,Dealer,218,840
Scrambler,Ducati,1340000,84.48,88,air cooled,6 speed manual,chain drive,1079,2,15,nan,299,206,Salem,14000,Dealer,160,810
Ducati Multistrada V2,Ducati,1605000,111.3,96,liquid cooled,6 speed manual,chain drive,937,2,20,nan,182,222,Tirupur,16000,Dealer,170,830
Scrambler,Ducati,1199000,71.87,66.2,air cooled,6 speed manual,chain drive,803,2,13.5,nan,299,189,Erode,7000,Dealer,176,798
Ducati Scrambler Desert Sled,Ducati,1259000,71.87,66.2,air cooled,6 speed manual,chain drive,803,2,13.5,nan,299,209,Krishnagiri,4000,Dealer,238,860
Husqvarna Svartpilen 250,Husqvarna,217632,29.63,24,liquid cooled,6 speed manual,chain drive,248.76,1,9.5,30,145,166,Coimbatore,45000,Dealer,149,842
Husqvarna Vitpilen 250,Husqvarna,217074,29.63,24,liquid cooled,6 speed manual,chain drive,248.76,1,9.5,31,150,166,Chennai,99000,Dealer,149,842
Triumph Rocket 3,Triumph,2019312,165,221,water cooled,6 speed manual,shaft drive,2458,3,18,nan,220,304,Madurai,52000,Dealer,140,773
Triumph Trident 660,Triumph,758000,80,64,liquid cooled,6 speed manual,chain drive,660,3,14,nan,212,189,Trichy,45000,Dealer,150,805
Triumph Speed Triple 1200 RS,Triumph,1795000,177.5,125,liquid cooled,6 speed manual,chain drive,1160,3,15.5,nan,230,198,Kanyakumari,52000,Dealer,165,830
Triumph Tiger 900,Triumph,1399865,93.9,87,liquid cooled,6 speed manual,chain drive,888,3,20,nan,200,194,Salem,27000,Dealer,203,810
Bonneville,Triumph,1285000,76.9,106,liquid cooled,6 speed manual,chain drive,1200,2,12,nan,150,251,Tirupur,60000,Dealer,140,690
Triumph Speed Twin 900,Triumph,879006,64.1,80,liquid cooled,5 speed manual,chain drive,900,2,12,nan,180,216,Erode,2300,Dealer,130,765
Triumph Scrambler 900,Triumph,989006,64.1,80,liquid cooled,5 speed manual,chain drive,900,2,12,nan,175,223,Krishnagiri,15000,Dealer,157.5,790
Triumph Speed Twin,Triumph,1122000,98.6,112,liquid cooled,6 speed manual,chain drive,1200,2,14.5,nan,200,216,Coimbatore,50000,Dealer,130,809
Bonneville,Triumph,1139000,78.9,105,liquid cooled,6 speed manual,chain drive,1200,2,14.5,nan,190,236,Chennai,27000,Dealer,140,790
Bonneville,Triumph,1285000,76.9,106,liquid cooled,6 speed manual,chain drive,1200,2,12,nan,161,263,Madurai,25000,Dealer,140,705
Triumph Bonneville T100,Triumph,1004000,64.1,80,liquid cooled,5 speed manual,chain drive,900,2,14.5,nan,185,228,Trichy,40000,Dealer,140,790
Triumph Tiger 850 Sport,Triumph,1195000,84,82,liquid cooled,6 speed manual,chain drive,888,3,20,nan,160,192,Kanyakumari,32000,Dealer,203,810
Vespa ZX 125,Vespa,116135,9.78,9.6,air cooled,automatic,cvt,124.45,1,7.4,nan,95,114,Salem,50000,Dealer,155,770
Vespa SXL 125,Vespa,134313,9.78,9.6,air cooled,automatic,cvt,124.45,1,7.4,40,90,114,Tirupur,36000,Dealer,155,770
Vespa SXL 150,Vespa,148261,10.32,10.6,air cooled,automatic,cvt,149.5,1,7.4,35,95,114,Erode,17450,Dealer,155,770
Vespa VXL 125,Vespa,130438,9.78,9.6,air cooled,automatic,cvt,124.45,1,7.4,39,90,114,Krishnagiri,32000,Dealer,155,770
Vespa VXL 150,Vespa,143895,10.32,10.6,air cooled,automatic,cvt,149.5,1,7.4,45,95,114,Coimbatore,38000,Dealer,155,770
Vespa Elegante 150,Vespa,155927,10.32,10.6,air cooled,automatic,cvt,149.5,1,7.4,45,100,114,Chennai,71000,Dealer,155,770
